original_title,year,genre,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,budget,usa_gross_income,USA Profit
Code Name: The Cleaner,2007,"Action, Comedy, Crime",84,USA,English,Les Mayfield,"Robert Adetuyi, George Gallo","Cedric the Entertainer, Lucy Liu, Nicollette Sheridan, Mark Dacascos, Callum Keith Rennie, Niecy Nash, DeRay Davis, Will Patton, Kevin McNulty, Beau Starr, Bart Anderson, Tom Butler, Robert Clarke, Rick Tae, Kurt Max Runte",Cedric the Entertainer,Cedric the Entertainer,"An amnesiac wakes up in a hotel room next to a dead FBI agent and $250,000. Is the sexy lady in the lobby his wife? Is he a spy or a cleaner?",An amnesiac wakes up in a hotel,4.6,11179,20000000,8135024,-11864976
Daddy Day Camp,2007,"Comedy, Family",89,USA,English,Fred Savage,"Geoff Rodkey, J. David Stem","Cuba Gooding Jr., Lochlyn Munro, Richard Gant, Tamala Jones, Paul Rae, Joshua David McLerran, Spencir Bridges, Brian Doyle-Murray, Dallin Boyce, Telise Galanis, Taggart Hurtubise, Molly Jepson, Tad D'Agostino, Tyger Rawlings, Talon G. Ackerman",Cuba Gooding Jr.,"Cuba Gooding Jr., Lochlyn Munro","Seeking to offer his son the satisfying summer camp experience that eluded him as a child, the operator of a neighborhood daycare center opens his own camp, only to face financial hardship and stiff competition from a rival camp.",Seeking to offer his son the satisfying,3.1,15427,6000000,13235267,7235267
Grindhouse,2007,"Action, Horror, Thriller",191,"USA, Canada",English,"Robert Rodriguez, Eli Roth","Robert Rodriguez, Rob Zombie","Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito, Sydney Tamiia Poitier, Tracie Thoms, Rose McGowan, Jordan Ladd, Mary Elizabeth Winstead, Quentin Tarantino, Marcy Harriell, Eli Roth, Omar Doom, Michael Bacall, Monica Staggs",Kurt Russell,"Kurt Russell, Zoë Bell",Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.,Quentin Tarantino and Robert Rodriguez's,7.5,176256,67000000,25037897,-41962103
The Hoax,2006,"Comedy, Drama",116,USA,English,Lasse Hallström,"William Wheeler, Clifford Irving","David Aaron Baker, John Carter, Judi Barton, Raul S. Julia, James Biberi, Richard Gere, Hope Davis, Christopher Evan Welch, Okwui Okpokwasili, Alfred Molina, Bob Wiltfong, William Fowle, Marcia Gay Harden, Julie Delpy, Antonie Knoppers",David Aaron Baker,"David Aaron Baker, John Carter","In what would cause a fantastic media frenzy,",In what would cause a fantastic,6.7,15915,25000000,7164995,-17835005
Larry the Cable Guy: Health Inspector,2006,"Comedy, Romance",89,USA,English,Trent Cooper,"Jonathan Bernstein, James Greer","Larry the Cable Guy, David Koechner, Michael Papajohn, Phyllis Alexion, Tony Hale, Thomas F. Wilson, Iris Bahr, Eric Esteban, Brooke Dillman, Joanna Cassidy, Rahman Khan, Megyn Price, Arian Ash, Bruce Bruce, Tom Hillmann",Larry the Cable Guy,Larry the Cable Guy,"A slovenly cable repairman becomes a big city Health Inspector, and is tasked with uncovering the source of a food poisoning epidemic.",A slovenly cable repairman becomes,3.3,10403,4000000,15680099,11680099
Outlander,2008,"Action, Adventure, Sci-Fi",115,"USA, Germany, France",English,Howard McCain,"Dirk Blackman, Howard McCain","Jim Caviezel, Sophia Myles, Jack Huston, John Hurt, Cliff Saunders, Patrick Stevenson, Aidan Devine, Ron Perlman, Bailey Maughan, John Nelles, James Preston Rogers, Scott Owen, Petra Prazak, Owen Pattison, Matt Cooke",Jim Caviezel,"Jim Caviezel, Sophia Myles","During the reign of the Vikings, Kainan, a man from a far-off world, crash lands on Earth, bringing with him an alien predator known as the Moorwen. Though both man and monster are seeking revenge for violence committed against them, Kainan leads the alliance to kill the Moorwen by fusing his advanced technology with the Viking's Iron Age weaponry.","During the reign of the Vikings,",6.2,71125,50000000,166003,-49833997
Rambo,2008,"Action, Thriller",92,"Germany, USA, Thailand",English,Sylvester Stallone,"Art Monterastelli, Sylvester Stallone","Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish, Reynaldo Gallegos, Jake La Botz, Tim Kang, Maung Maung Khin, Paul Schulze, Cameron Pearson, Thomas Peterson, Tony Skarberg, James With, Kasikorn Niyompattana, Shaliew 'Lek' Bamrungbun",Sylvester Stallone,"Sylvester Stallone, Julie Benz","In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.","In Thailand, John Rambo joins",7,215151,50000000,42754105,-7245895
Rescue Dawn,2006,"Action, Biography, Drama",120,"USA, Luxembourg",English,Werner Herzog,Werner Herzog,"Christian Bale, Zach Grenier, Marshall Bell, Toby Huss, Pat Healy, GQ, James Aaron Oliver, Brad Carr, Saichia Wongwiroj, François Chau, Teerawat Mulvilai, Yuttana Muenwaja, Kriangsak Ming-olo, Somkuan 'Kuan' Siroon, Chorn Solyda",Christian Bale,"Christian Bale, Zach Grenier",A U.S. fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.,A U.S. fighter pilot's epic struggle,7.3,99594,10000000,5490423,-4509577
School for Scoundrels,2006,Comedy,100,USA,English,Todd Phillips,"Todd Phillips, Scot Armstrong","Billy Bob Thornton, Jon Heder, Jacinda Barrett, Michael Clarke Duncan, Sarah Silverman, David Cross, Matt Walsh, Horatio Sanz, Todd Louiso, Jon Glaser, Paul Scheer, Ben Stiller, Luis Guzmán, Dan Fogler, DeRay Davis",Billy Bob Thornton,"Billy Bob Thornton, Jon Heder","A young guy short on luck enrolls in a class to build confidence to help win over the girl of his dreams, which becomes complicated when it turns out his teacher has the same agenda.",A young guy short on luck enrolls,5.9,28619,35000000,17807569,-17192431
The Simpsons Movie,2007,"Animation, Adventure, Comedy",87,USA,English,David Silverman,"James L. Brooks, Matt Groening","Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Harry Shearer, Pamela Hayden, Tress MacNeille, Albert Brooks, Karl Wiedergott, Marcia Wallace, Russi Taylor, Maggie Roswell, Phil Rosenthal, Billie Joe Armstrong",Dan Castellaneta,"Dan Castellaneta, Julie Kavner","After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",After Homer pollutes the town's,7.3,304958,75000000,183135014,108135014
Step Up,2006,"Crime, Drama, Music",104,USA,English,Anne Fletcher,"Duane Adler, Melissa Rosenberg","Channing Tatum, Jenna Dewan, Damaine Radcliff, De'Shawn Washington, Mario, Drew Sidora, Rachel Griffiths, Josh Henderson, Tim Lacatena, Alyson Stoner, Heavy D, Deirdre Lovejoy, Jane Beard, Richard Pelzman, Carlyncia S. Peck",Channing Tatum,"Channing Tatum, Jenna Dewan","Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",Tyler Gage receives the opportunity,6.5,109019,12000000,65328121,53328121
"You, Me and Dupree",2006,"Comedy, Romance",110,USA,English,"Anthony Russo, Joe Russo",Michael LeSieur,"Owen Wilson, Kate Hudson, Matt Dillon, Michael Douglas, Seth Rogen, Amanda Detmer, Ralph Ting, Todd Stashwick, Bill Hader, Lance Armstrong, Jason Winer, Sidney S. Liufau, Billy Gardell, Eli Vargas, Houston Mack",Owen Wilson,"Owen Wilson, Kate Hudson","A best man (Wilson) stays on as a houseguest with the newlyweds, much to the couple's annoyance.",A best man (Wilson) stays on as,5.6,77597,54000000,75628110,21628110
The Fast and the Furious: Tokyo Drift,2006,"Action, Crime, Thriller",104,"USA, Germany, Japan",English,Justin Lin,Chris Morgan,"Lucas Black, Damien Marzette, Trula M. Marcus, Zachery Ty Bryan, Brandon Brendel, Daniel Booko, David V. Thomas, Amber Stevens West, Ashika Gogna, Christian Salazar, Kevin Caira, Trey Sanford, Danny Ray McDonald II, Nikki Griffin, Vincent Laresca",Lucas Black,"Lucas Black, Damien Marzette",A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,A teenager becomes a major competitor,6,236524,85000000,62514415,-22485585
Freedom Writers,2007,"Biography, Crime, Drama",123,"Germany, USA",English,Richard LaGravenese,"Richard LaGravenese, Freedom Writers","Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April Hernandez Castillo, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith, Gabriel Chavarria, Hunter Parrish, Antonio García",Hilary Swank,"Hilary Swank, Patrick Dempsey","A young teacher inspires her class of at-risk students to learn tolerance, apply themselves and pursue education beyond high school.",A young teacher inspires her class,7.5,67569,21000000,36605602,15605602
Piranha 3D,2010,"Comedy, Horror",88,"USA, Japan",English,Alexandre Aja,"Pete Goldfinger, Josh Stolberg","Richard Dreyfuss, Ving Rhames, Elisabeth Shue, Christopher Lloyd, Eli Roth, Jerry O'Connell, Steven R. McQueen, Jessica Szohr, Kelly Brook, Riley Steele, Adam Scott, Ricardo Chavira, Dina Meyer, Paul Scheer, Brooklynn Proulx",Richard Dreyfuss,"Richard Dreyfuss, Ving Rhames","After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.",After a sudden underwater tremor,5.4,84953,24000000,25003155,1003155
American Dreamz,2006,"Comedy, Music",107,USA,English,Paul Weitz,Paul Weitz,"Hugh Grant, Dennis Quaid, Mandy Moore, Willem Dafoe, Chris Klein, Jennifer Coolidge, Sam Golzari, Marcia Gay Harden, Seth Meyers, John Cho, Judy Greer, Bernard White, Winter Jones, Noureen DeWulf, Shohreh Aghdashloo",Hugh Grant,"Hugh Grant, Dennis Quaid","The new season of ""American Dreamz,"" the wildly popular television singing contest, has captured the country's attention, as the competition looks to be between a young Midwestern gal (Moore) and a showtunes-loving young man from Orange County (Golzari). Recently awakened President Staton (Quaid) even wants in on the craze, as he signs up for the potential explosive season finale.","The new season of ""American Dreamz,""",5.4,24087,17000000,7191830,-9808170
National Treasure: Book of Secrets,2007,"Action, Adventure, Mystery",124,USA,English,Jon Turteltaub,"Marianne Wibberley, Cormac Wibberley","Nicolas Cage, Justin Bartha, Diane Kruger, Jon Voight, Helen Mirren, Ed Harris, Harvey Keitel, Bruce Greenwood, Ty Burrell, Michael Maize, Timothy V. Murphy, Alicia Coppola, Armando Riesco, Albert Hall, Joel Gretsch",Nicolas Cage,"Nicolas Cage, Justin Bartha",Benjamin Gates must follow a clue left in,Benjamin Gates must follow a clue,6.5,215254,130000000,219964115,89964115
December Boys,2007,"Drama, Romance",105,"Australia, Germany, USA",English,Rod Hardy,"Ronald Kinnoch, Michael Noonan","Daniel Radcliffe, Lee Cormie, Christian Byers, James Fraser, Jack Thompson, Teresa Palmer, Sullivan Stapleton, Victoria Hill, Max Cullen, Kris McQuade, Ralph Cotterill, Frank Gallacher, Paul Blackwell, Judi Farr, Carmel Johnson",Daniel Radcliffe,"Daniel Radcliffe, Lee Cormie","One summer, four orphans boys who have grown to be the closest of friends find themselves competing for the attention of the same family.","One summer, four orphans boys",6.5,11564,4000000,50715,-3949285
Hitman,2007,"Action, Crime, Thriller",100,"France, USA",English,Xavier Gens,Skip Woods,"Timothy Olyphant, Dougray Scott, Olga Kurylenko, Robert Knepper, Ulrich Thomsen, Henry Ian Cusick, Michael Offei, Christian Erickson, Eriq Ebouaney, Joe Sheridan, James Faulkner, Jean-Marc Bellu, Nicky Naudé, Abdou Sagna, Ilya Nikitenko",Timothy Olyphant,"Timothy Olyphant, Dougray Scott","A gun-for-hire known only as Agent 47 hired by a group known only as 'The Organization' is ensnared in a political conspiracy, which finds him pursued by both Interpol and the Russian military as he treks across Russia and Eastern Europe.",A gun-for-hire known only as Agent,6.3,158876,24000000,39687694,15687694
Igor,2008,"Animation, Comedy, Family",87,"USA, France",English,Tony Leondis,"Chris McKenna, Tony Leondis","John Cusack, Myleene Klass, Robin Howard, Matt McKenna, John Cleese, Steve Buscemi, Sean Hayes, Jess Harnell, Eddie Izzard, Jennifer Coolidge, Jay Leno, Molly Shannon, Zoë Bright, Sophia Eraklis, A. Cheron Hall",John Cusack,"John Cusack, Myleene Klass","Animated fable about a cliché hunchbacked evil scientist's assistant who aspires to become a scientist himself, much to the displeasure of the rest of the evil science community.",Animated fable about a cliché,6,22094,25000000,19528602,-5471398
Michael Clayton,2007,"Crime, Drama, Mystery",119,USA,English,Tony Gilroy,Tony Gilroy,"Tom Wilkinson, Michael O'Keefe, Sydney Pollack, Danielle Skraastad, Tilda Swinton, George Clooney, Wai Chan, Alberto Vazquez, Brian Koppelman, Tom McCarthy, Denis O'Hare, Julie White, Austin Williams, Jennifer Van Dyck, Frank Wood",Tom Wilkinson,"Tom Wilkinson, Michael O'Keefe","A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit.","A law firm brings in its ""fixer""",7.2,154215,25000000,49033882,24033882
Push,2009,"Action, Sci-Fi, Thriller",111,"USA, Canada",English,Paul McGuigan,David Bourla,"Colin Ford, Joel Gretsch, Djimon Hounsou, Dakota Fanning, Robert Tsonos, Brandon Rhea, Camilla Belle, Neil Jackson, Chris Evans, Kai Cheung Leung, Hsin Nan Hung, Corey Stoll, Scott Michael Campbell, Wai-Man Tam, Hal Yamanouchi",Colin Ford,"Colin Ford, Joel Gretsch",Two young Americans with special abilities must race to find a girl in Hong Kong before a shadowy government organization called Division does.,Two young Americans with special,6.1,104508,38000000,31811527,-6188473
Shoot 'Em Up,2007,"Action, Thriller",86,USA,English,Michael Davis,Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci, Stephen McHattie, Greg Bryk, Daniel Pilon, Sidney Mende-Gibson, Lucas Mende-Gibson, Kaylyn Yellowlees, Ramona Pringle, Julian Richings, Tony Munch, Scott McCord, Wiley M. Pickett, Stephen R. Hart",Clive Owen,"Clive Owen, Paul Giamatti","A man named Mr. Smith delivers a woman's baby during a shootout, and is then called upon to protect the newborn from the army of gunmen.",A man named Mr. Smith delivers,6.7,143090,39000000,12807139,-26192861
My Super Ex-Girlfriend,2006,"Comedy, Romance, Sci-Fi",96,USA,English,Ivan Reitman,Don Payne,"Uma Thurman, Luke Wilson, Anna Faris, Rainn Wilson, Eddie Izzard, Stelio Savante, Mike Iorio, Mark Consuelos, Wanda Sykes, Margaret Anne Florence, Catherine Reitman, Tara Thompson, Kevin Townley, Eva Veronika, Lawrence Feeney",Uma Thurman,"Uma Thurman, Luke Wilson","When a regular guy dumps a superhero for her neediness, she uses her powers to make his life a living hell.",When a regular guy dumps a superhero,5.1,61024,30000000,22530295,-7469705
Date Movie,2006,"Comedy, Romance",83,"USA, Switzerland",English,"Aaron Seltzer, Jason Friedberg","Jason Friedberg, Aaron Seltzer","Alyson Hannigan, Adam Campbell, Sophie Monk, Eddie Griffin, Meera Simhan, Fred Willard, Jennifer Coolidge, Marie Matiko, Judah Friedlander, Carmen Electra, Tony Cox, Mauricio Sanchez, Beverly Polcyn, Valery M. Ortiz, Charlie Dell",Alyson Hannigan,"Alyson Hannigan, Adam Campbell","Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father.",Spoof of romantic comedies which,2.8,56608,20000000,48548426,28548426
ATL,2006,"Comedy, Crime, Drama",105,USA,English,Chris Robinson,"Tina Gordon, Antwone Fisher","Greg Andrews, Monica, Brandon Bernard Benton, Adam Boyer, April Clark, Albert Daniels, Steven R. Ewing, Alvin Lee Fleming, Big Gipp, Bart Hansard, T.I., Khadijah Haqq, Malika Haqq, Bone Crusher, Monique Harris",Greg Andrews,"Greg Andrews, Monica","As four friends prepare for life after high school, different challenges bring about turning points in each of their lives. The dramas unfold and resolve at their local rollerskating rink, Cascade.",As four friends prepare for life,6.1,10578,20000000,21170563,1170563
Margaret,2011,Drama,150,USA,English,Kenneth Lonergan,Kenneth Lonergan,"Anna Paquin, J. Smith-Cameron, Mark Ruffalo, Jeannie Berlin, Jean Reno, Sarah Steele, John Gallagher Jr., Cyrus Hernstadt, Allison Janney, Kieran Culkin, Matt Damon, Stephen Adly Guirgis, Betsy Aidem, Adam Rose, Nick Grodin",Anna Paquin,"Anna Paquin, J. Smith-Cameron","A young woman witnesses a bus accident, and is caught up in the aftermath, where the question of whether or not it was intentional affects many people's lives.",A young woman witnesses a bus,6.4,15699,14000000,46495,-13953505
